GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,MOE
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographical Area,Geographical Area,Median,Margin of Error
0100000US,,United States,1600000US1822000,1822000,United States - Indiana - Evansville city,Evansville city,34362,2330
0100000US,,United States,1600000US1825000,1825000,United States - Indiana - Fort Wayne city,Fort Wayne city,38063,2224
0100000US,,United States,1600000US1827000,1827000,United States - Indiana - Gary city,Gary city,25496,3831
0100000US,,United States,1600000US1831000,1831000,United States - Indiana - Hammond city,Hammond city,33586,2133
0100000US,,United States,1600000US1836003,1836003,United States - Indiana - Indianapolis city (balance),Indianapolis city (balance),41578,1333
0100000US,,United States,1600000US1851876,1851876,United States - Indiana - Muncie city,Muncie city,28212,3728
0100000US,,United States,1600000US1871000,1871000,United States - Indiana - South Bend city,South Bend city,31867,1684
0100000US,,United States,0400000US19,19,United States - Iowa,Iowa,43609,520
0100000US,,United States,1600000US1912000,1912000,United States - Iowa - Cedar Rapids city,Cedar Rapids city,47357,4525
0100000US,,United States,1600000US1919000,1919000,United States - Iowa - Davenport city,Davenport city,42801,2534
0100000US,,United States,1600000US1921000,1921000,United States - Iowa - Des Moines city,Des Moines city,42690,2863
0100000US,,United States,1600000US1973335,1973335,United States - Iowa - Sioux City city,Sioux City city,39037,2855
0100000US,,United States,1600000US1982425,1982425,United States - Iowa - Waterloo city,Waterloo city,32987,3978
0100000US,,United States,0400000US20,20,United States - Kansas,Kansas,42920,732
0100000US,,United States,1600000US2036000,2036000,United States - Kansas - Kansas City city,Kansas City city,33157,2946
0100000US,,United States,1600000US2038900,2038900,United States - Kansas - Lawrence city,Lawrence city,35989,3327
0100000US,,United States,1600000US2052575,2052575,United States - Kansas - Olathe city,Olathe city,66230,3270
0100000US,,United States,1600000US2053775,2053775,United States - Kansas - Overland Park city,Overland Park city,64804,4708
0100000US,,United States,1600000US2071000,2071000,United States - Kansas - Topeka city,Topeka city,35726,2366
0100000US,,United States,1600000US2079000,2079000,United States - Kansas - Wichita city,Wichita city,40115,1664
0100000US,,United States,0400000US21,21,United States - Kentucky,Kentucky,37369,479
0100000US,,United States,1600000US2146027,2146027,United States - Kentucky - Lexington-Fayette,Lexington-Fayette,42442,2368
0100000US,,United States,1600000US2148006,2148006,United States - Kentucky - Louisville/Jefferson County (balance),Louisville/Jefferson County (balance),38664,1451
0100000US,,United States,0400000US22,22,United States - Louisiana,Louisiana,36729,575
0100000US,,United States,1600000US2205000,2205000,United States - Louisiana - Baton Rouge city,Baton Rouge city,31049,2844
0100000US,,United States,1600000US2239475,2239475,United States - Louisiana - Kenner city,Kenner city,41958,6447
0100000US,,United States,1600000US2240735,2240735,United States - Louisiana - Lafayette city,Lafayette city,39158,3943
0100000US,,United States,1600000US2241155,2241155,United States - Louisiana - Lake Charles city,Lake Charles city,29741,4820
0100000US,,United States,1600000US2250115,2250115,United States - Louisiana - Metairie CDP,Metairie CDP,43044,3202
0100000US,,United States,1600000US2255000,2255000,United States - Louisiana - New Orleans city,New Orleans city,30711,1780
0100000US,,United States,1600000US2270000,2270000,United States - Louisiana - Shreveport city,Shreveport city,32027,2116
0100000US,,United States,0400000US23,23,United States - Maine,Maine,42801,969
0100000US,,United States,0400000US24,24,United States - Maryland,Maryland,61592,595
0100000US,,United States,1600000US2404000,2404000,United States - Maryland - Baltimore city,Baltimore city,32456,1849
0100000US,,United States,1600000US2419125,2419125,United States - Maryland - Columbia CDP,Columbia CDP,80720,6843
0100000US,,United States,1600000US2472450,2472450,United States - Maryland - Silver Spring CDP,Silver Spring CDP,59490,6137
0100000US,,United States,0400000US25,25,United States - Massachusetts,Massachusetts,57184,694
0100000US,,United States,1600000US2507000,2507000,United States - Massachusetts - Boston city,Boston city,42562,2842
0100000US,,United States,1600000US2509000,2509000,United States - Massachusetts - Brockton city,Brockton city,47250,3778
